trial_id,learning_rate,conv1d_strides,conv1d_filters,hidden_units,input_size,tuner/epochs,tuner/initial_epoch,tuner/bracket,tuner/round,loss,error_to_signal,val_loss,val_error_to_signal,prediction_time
0147,0.0030450456971820813,9,25,78,135,8,0,0,0,0.0068452684208750725,0.0068453047424554825,0.006731715518981218,0.006731304340064526,51.69415529999969
0158,0.00530278435624136,10,17,60,132,8,0,0,0,0.006891616620123386,0.006891991477459669,0.0068017044104635715,0.006800328381359577,41.65442299999995
0124,0.0010028966014693037,5,14,85,72,3,0,1,0,0.013713574036955833,0.01371325459331274,0.012857998721301556,0.012853657826781273,64.13258069999938
0138,0.00018702715280418566,11,24,117,73,8,0,0,0,0.01580033078789711,0.015800248831510544,0.015247108414769173,0.015249974094331264,36.65990670000065
0207,0.0030362419799012936,8,24,95,56,8,0,0,0,0.011453326791524887,0.011453396640717983,0.011369975283741951,0.011365202255547047,32.12342549999994
0120,0.0017491856822561972,7,25,105,52,3,0,1,0,0.01393179502338171,0.013931422494351864,0.013445506803691387,0.013444975018501282,59.88244379999924
0152,0.0002545349849893049,10,25,62,111,3,0,1,0,0.023118842393159866,0.02311796322464943,0.01984812133014202,0.019847063347697258,43.446454599999925
0148,0.00021334004694169303,8,22,67,147,8,0,0,0,0.011334776878356934,0.01133460458368063,0.011053907684981823,0.011051799170672894,62.88301809999939
0134,0.0006060757455355893,7,13,116,103,3,0,1,0,0.01691390760242939,0.01691330038011074,0.015013781376183033,0.015017841942608356,86.24515639999845
0140,0.001245158156781897,5,19,48,128,3,0,1,0,0.01099355611950159,0.010993472300469875,0.01029894594103098,0.010299213230609894,88.41458700000112
0164,0.003481939845832107,11,16,54,133,3,0,1,0,0.009683316573500633,0.009683214128017426,0.009087064303457737,0.009084389545023441,38.446185899998454
0172,0.0006361252779797229,7,22,94,105,3,0,1,0,0.012933404184877872,0.012932928279042244,0.011918370611965656,0.011917432770133018,74.61169239999981
0222,0.0005062260434083357,3,22,43,117,3,0,1,0,0.013801163993775845,0.013800926506519318,0.013160868547856808,0.013161951676011086,158.0849648000003
0179,0.0019960237923011934,11,26,56,77,8,0,0,0,0.010672537609934807,0.010672207921743393,0.010600690729916096,0.010603375732898712,26.364326700000674
0136,0.0010433012022792003,10,26,114,120,8,3,1,1,0.009094505570828915,0.00909434724599123,0.008970890194177628,0.008968645706772804,76.98181360000126
0171,0.001566158835875298,8,22,91,121,3,0,1,0,0.010785642080008984,0.010785261169075966,0.010217457078397274,0.010220333933830261,56.38214660000085
0146,0.001245158156781897,5,19,48,128,8,3,1,1,0.008566830307245255,0.00856679305434227,0.008328083902597427,0.008328577503561974,86.63722419999976
0168,0.0005527499110471527,3,17,45,68,8,0,0,0,0.011723238043487072,0.011722956784069538,0.01168912649154663,0.01169203408062458,98.46118790000037
0141,0.0007595965552970488,12,19,57,94,3,0,1,0,0.01914183236658573,0.01914047822356224,0.016411159187555313,0.016413165256381035,26.11440330000005
0174,0.0001533590754695527,11,17,102,83,3,0,1,0,0.04765109717845917,0.047647442668676376,0.036721181124448776,0.03673035278916359,35.5955457
0181,0.00012312657385013168,7,20,79,156,3,0,1,0,0.04109007865190506,0.041086241602897644,0.03180290386080742,0.03179452195763588,83.54554430000098
0149,0.0065066884560104786,3,13,107,151,8,0,0,0,0.003965685144066811,0.00396597757935524,0.003926331643015146,0.0039262413047254086,390.1932608999996
0223,0.0001697761828848378,10,12,88,92,3,0,1,0,0.061886198818683624,0.06188128516077995,0.04763485863804817,0.047640811651945114,30.551395300000877
0173,0.0035157669392935006,10,20,81,159,3,0,1,0,0.008100210689008236,0.008100161328911781,0.007779283914715052,0.007780785672366619,49.94679519999954
0184,0.005853304584352487,4,13,121,127,3,0,1,0,0.006953912787139416,0.006953523959964514,0.00695668812841177,0.006956505123525858,220.00699779999923
0156,0.0008770141696048767,4,18,43,87,8,3,1,1,0.011035790666937828,0.011035949923098087,0.010797696188092232,0.010803966782987118,76.98494729999948
0176,0.001566158835875298,8,22,91,121,8,3,1,1,0.00871469359844923,0.008714691735804081,0.008422373794019222,0.008422885090112686,54.757972499999596
0183,0.0028656743671223324,7,24,59,133,3,0,1,0,0.008600088767707348,0.008599942550063133,0.008270079270005226,0.008265649899840355,55.78691179999987
0250,0.0016137433190825015,11,18,78,131,3,0,1,0,0.011076189577579498,0.011075944639742374,0.010221925564110279,0.010220837779343128,47.20001520000005
0151,0.0008770141696048767,4,18,43,87,3,0,1,0,0.014439025893807411,0.014438724145293236,0.013150508515536785,0.013150385580956936,78.12099929999931
0187,0.0005522541253612088,4,16,54,59,8,0,0,0,0.012373967096209526,0.01237372774630785,0.012113365344703197,0.01211664266884327,57.46903449999991
0185,0.005853304584352487,4,13,121,127,8,3,1,1,0.00611419603228569,0.006113898009061813,0.006230206228792667,0.0062302276492118835,217.14423449999958
